,County|Prec,Type,Context
2089,ORANGE|GR,PERFECT_MATCH,ORANGE|GR
2090,ORANGE|CH,PERFECT_MATCH,ORANGE|CH
2091,ORANGE|EH,PERFECT_MATCH,ORANGE|EH
2092,ORANGE|CF,PERFECT_MATCH,ORANGE|CF
2093,ORANGE|EA,PERFECT_MATCH,ORANGE|EA
2094,ORANGE|CA,PERFECT_MATCH,ORANGE|CA
2095,ORANGE|ABSENTEE.BY.MAIL,COUNTY_LEVEL,ABSENTEE.BY.MAIL
2096,ORANGE|HF,PERFECT_MATCH,ORANGE|HF
2097,ORANGE|H,PERFECT_MATCH,ORANGE|H
2098,ORANGE|EF,PERFECT_MATCH,ORANGE|EF
2099,ORANGE|CC,PERFECT_MATCH,ORANGE|CC
2100,ORANGE|OS.CTH,COUNTY_LEVEL,OS.CTH
2101,ORANGE|OS.BOE,COUNTY_LEVEL,OS.BOE
2102,ORANGE|ENO,PERFECT_MATCH,ORANGE|ENO
2103,ORANGE|CX,PERFECT_MATCH,ORANGE|CX
2104,ORANGE|MF,PERFECT_MATCH,ORANGE|MF
2105,ORANGE|CO,PERFECT_MATCH,ORANGE|CO
2106,ORANGE|OS.NHC,COUNTY_LEVEL,OS.NHC
2107,ORANGE|WW,PERFECT_MATCH,ORANGE|WW
2108,ORANGE|WDS,PERFECT_MATCH,ORANGE|WDS
2109,PENDER|CT03,PERFECT_MATCH,PENDER|CT03
2110,PENDER|RP20,PERFECT_MATCH,PENDER|RP20
2111,PENDER|UT14,PERFECT_MATCH,PENDER|UT14
2112,PENDER|LC09,PERFECT_MATCH,PENDER|LC09
2113,PENDER|CURBSIDE,COUNTY_LEVEL,CURBSIDE
2114,PENDER|SB02,PERFECT_MATCH,PENDER|SB02
2115,PENDER|UU17,PERFECT_MATCH,PENDER|UU17
2116,PENDER|PROVISIONAL,COUNTY_LEVEL,PROVISIONAL
2117,PENDER|CS04,PERFECT_MATCH,PENDER|CS04
2118,PENDER|ABSENTEE.BY.MAIL,COUNTY_LEVEL,ABSENTEE.BY.MAIL
2119,PENDER|MT19,PERFECT_MATCH,PENDER|MT19
2120,PENDER|LU16,PERFECT_MATCH,PENDER|LU16
2121,PENDER|LT18,PERFECT_MATCH,PENDER|LT18
2122,PENDER|CL05,PERFECT_MATCH,PENDER|CL05
2123,PENDER|SH12,PERFECT_MATCH,PENDER|SH12
